x, y, z, density
-0.113238, -0.631092, -0.157152, 1.000000
-0.846090, 0.764785, -0.090133, 0.000000
-0.150512, -0.358984, -0.480809, 1.000000
-0.322899, 0.654099, 0.201910, 1.000000
-0.387406, 0.501973, -0.129063, 1.000000
-0.055192, -0.024701, 0.364227, 1.000000
-0.798959, -0.640936, -0.861362, 0.000000
-0.797021, -0.669081, -0.617583, 0.000000
-0.429387, -0.476452, 0.893001, 0.000000
-0.751240, 0.804325, 0.640562, 0.000000
-0.037264, -0.562049, 0.398305, 1.000000
0.569440, -0.455005, -0.385137, 1.000000
-0.894681, -0.120557, -0.129487, 0.000000
0.130641, 0.885829, 0.078762, 0.000000
0.664958, -0.311833, -0.716235, 0.000000
0.329755, 0.433832, 0.147024, 1.000000
0.094880, 0.088267, 0.034141, 1.000000
-0.458053, -0.494342, -0.363221, 1.000000
0.351736, 0.309655, 0.120190, 1.000000
-0.242121, -0.870307, 0.705288, 0.000000
0.018605, 0.458794, 0.849246, 0.000000
0.445459, -0.069442, -0.051322, 1.000000
0.679221, -0.805760, -0.006096, 0.000000
0.623507, 0.634730, 0.404822, 0.000000
0.505884, -0.586649, -0.033474, 1.000000
-0.426144, -0.361192, -0.283898, 1.000000
-0.708060, 0.361060, 0.616620, 0.000000
0.756994, 0.890278, 0.845960, 0.000000
-0.029697, 0.893969, 0.280889, 0.000000
0.402916, -0.291922, -0.289145, 1.000000
-0.794663, -0.037041, 0.583761, 0.000000
-0.617166, -0.501212, -0.078394, 1.000000
0.279623, 0.263431, 0.574328, 1.000000
0.795939, -0.149088, -0.145044, 0.000000
0.441506, -0.158483, -0.297338, 1.000000
-0.136285, 0.652970, 0.263978, 1.000000
0.692212, 0.467792, -0.102179, 0.000000
0.663687, -0.012469, 0.784688, 0.000000
0.593634, -0.876140, -0.213927, 0.000000
-0.866169, -0.257106, -0.491265, 0.000000
0.367712, 0.187717, 0.871242, 0.000000
0.504778, -0.884689, 0.189486, 0.000000
0.029149, -0.205542, -0.501170, 1.000000
0.201360, 0.565938, 0.141502, 1.000000
